MappingID,BusinessID,ProcessID,Priority,Maturity_Level_0to5,R_Responsible,A_Accountable,C_Consulted,I_Informed
MAP-00001,BU-001,PROC-001,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00002,BU-001,PROC-002,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00003,BU-001,PROC-003,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00004,BU-001,PROC-004,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00005,BU-001,PROC-005,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00006,BU-001,PROC-006,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00007,BU-001,PROC-007,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00008,BU-001,PROC-008,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00009,BU-001,PROC-009,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00010,BU-001,PROC-010,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00011,BU-001,PROC-011,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00012,BU-001,PROC-012,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00013,BU-001,PROC-013,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00014,BU-001,PROC-014,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00015,BU-001,PROC-015,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00016,BU-001,PROC-016,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00017,BU-001,PROC-017,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00018,BU-001,PROC-018,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
