RiskID,ProcessID,Description,Likelihood,Impact,Mitigation,Contingency
RISK-001,PROC-001,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-001-2,PROC-001,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-002,PROC-002,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-002-2,PROC-002,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-003,PROC-003,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-003-2,PROC-003,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-004,PROC-004,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-004-2,PROC-004,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-005,PROC-005,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-005-2,PROC-005,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-006,PROC-006,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-006-2,PROC-006,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-007,PROC-007,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-007-2,PROC-007,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-008,PROC-008,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-008-2,PROC-008,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-009,PROC-009,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-009-2,PROC-009,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-010,PROC-010,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-010-2,PROC-010,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-011,PROC-011,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-011-2,PROC-011,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-012,PROC-012,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-012-2,PROC-012,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-013,PROC-013,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-013-2,PROC-013,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-014,PROC-014,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-014-2,PROC-014,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-015,PROC-015,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-015-2,PROC-015,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-016,PROC-016,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-016-2,PROC-016,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-017,PROC-017,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-017-2,PROC-017,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-018,PROC-018,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-018-2,PROC-018,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-019,PROC-019,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-019-2,PROC-019,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
RISK-020,PROC-020,Knowledge concentration in one person,Medium,High,Cross-train & document SOP,Backup assignee and review schedule
RISK-020-2,PROC-020,Data integrity failure,Low,High,Validation checks & backups,Restore drills quarterly
