StepID,SOP_ID,Order,Step_Title,Description,Acceptance_Criteria,Estimated_Duration,Input_Artifacts,Output_Artifacts,Automation_Candidate,KPI_Impacted
STEP-SOP-001-01,SOP-001,1,Annual Strategic Planning – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-001-02,SOP-001,2,Annual Strategic Planning – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-001-03,SOP-001,3,Annual Strategic Planning – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-001-04,SOP-001,4,Annual Strategic Planning – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-001-05,SOP-001,5,Annual Strategic Planning – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-002-01,SOP-002,1,Quarterly OKRs & Review – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-002-02,SOP-002,2,Quarterly OKRs & Review – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-002-03,SOP-002,3,Quarterly OKRs & Review – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-002-04,SOP-002,4,Quarterly OKRs & Review – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-002-05,SOP-002,5,Quarterly OKRs & Review – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-003-01,SOP-003,1,Market Research & Niche Validation – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-003-02,SOP-003,2,Market Research & Niche Validation – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-003-03,SOP-003,3,Market Research & Niche Validation – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
