SOP_ID,ProcessID,SOP_Title,Version,Last_Review,Owner,File_Link
SOP-001,PROC-001,SOP for Annual Strategic Planning,1.0,2025-08-13,Process Owner,./SOPs/SOP-001.md
SOP-002,PROC-002,SOP for Quarterly OKRs & Review,1.0,2025-08-13,Process Owner,./SOPs/SOP-002.md
SOP-003,PROC-003,SOP for Market Research & Niche Validation,1.0,2025-08-13,Process Owner,./SOPs/SOP-003.md
SOP-004,PROC-004,SOP for Product/Service Portfolio Management,1.0,2025-08-13,Process Owner,./SOPs/SOP-004.md
SOP-005,PROC-005,SOP for Pricing Strategy & Packaging,1.0,2025-08-13,Process Owner,./SOPs/SOP-005.md
SOP-006,PROC-006,SOP for Partner/Channel Strategy,1.0,2025-08-13,Process Owner,./SOPs/SOP-006.md
SOP-007,PROC-007,SOP for Brand Governance & Messaging,1.0,2025-08-13,Process Owner,./SOPs/SOP-007.md
SOP-008,PROC-008,SOP for SEO Content Lifecycle,1.0,2025-08-13,Process Owner,./SOPs/SOP-008.md
SOP-009,PROC-009,SOP for Content Repurposing & Syndication,1.0,2025-08-13,Process Owner,./SOPs/SOP-009.md
SOP-010,PROC-010,SOP for Social Media Calendar & Community,1.0,2025-08-13,Process Owner,./SOPs/SOP-010.md
SOP-011,PROC-011,SOP for Email List Building & Nurture,1.0,2025-08-13,Process Owner,./SOPs/SOP-011.md
SOP-012,PROC-012,SOP for Paid Ads Campaign Lifecycle,1.0,2025-08-13,Process Owner,./SOPs/SOP-012.md
SOP-013,PROC-013,SOP for Influencer/UGC Program,1.0,2025-08-13,Process Owner,./SOPs/SOP-013.md
SOP-014,PROC-014,SOP for PR & Thought Leadership,1.0,2025-08-13,Process Owner,./SOPs/SOP-014.md
SOP-015,PROC-015,SOP for Affiliate/Referral Program,1.0,2025-08-13,Process Owner,./SOPs/SOP-015.md
SOP-016,PROC-016,SOP for Web Analytics & CRO Loop,1.0,2025-08-13,Process Owner,./SOPs/SOP-016.md
SOP-017,PROC-017,SOP for Lead Intake & Qualification,1.0,2025-08-13,Process Owner,./SOPs/SOP-017.md
SOP-018,PROC-018,SOP for Discovery Call Workflow,1.0,2025-08-13,Process Owner,./SOPs/SOP-018.md
SOP-019,PROC-019,SOP for Solutioning/Demo Workflow,1.0,2025-08-13,Process Owner,./SOPs/SOP-019.md
SOP-020,PROC-020,SOP for Proposal & SOW Creation,1.0,2025-08-13,Process Owner,./SOPs/SOP-020.md
SOP-021,PROC-021,SOP for Contracting & eSignature,1.0,2025-08-13,Process Owner,./SOPs/SOP-021.md
SOP-022,PROC-022,SOP for Deal Desk & Discounting,1.0,2025-08-13,Process Owner,./SOPs/SOP-022.md
SOP-023,PROC-023,SOP for Pipeline Hygiene & Forecasting,1.0,2025-08-13,Process Owner,./SOPs/SOP-023.md
SOP-024,PROC-024,SOP for Onboarding Handoff (Sales→Delivery),1.0,2025-08-13,Process Owner,./SOPs/SOP-024.md
SOP-025,PROC-025,SOP for Welcome & Kickoff,1.0,2025-08-13,Process Owner,./SOPs/SOP-025.md
SOP-026,PROC-026,SOP for Requirements Gathering,1.0,2025-08-13,Process Owner,./SOPs/SOP-026.md
SOP-027,PROC-027,SOP for Implementation/Setup,1.0,2025-08-13,Process Owner,./SOPs/SOP-027.md
SOP-028,PROC-028,SOP for Training & Enablement,1.0,2025-08-13,Process Owner,./SOPs/SOP-028.md
