TemplateID,ProcessID,Type,Name,Description,File_Link
TEMP-001,PROC-001,Email,Annual Strategic Planning – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-001-C,PROC-001,Checklist,Annual Strategic Planning – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-002,PROC-002,Email,Quarterly OKRs & Review – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-002-C,PROC-002,Checklist,Quarterly OKRs & Review – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-003,PROC-003,Email,Market Research & Niche Validation – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-003-C,PROC-003,Checklist,Market Research & Niche Validation – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-004,PROC-004,Email,Product/Service Portfolio Management – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-004-C,PROC-004,Checklist,Product/Service Portfolio Management – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-005,PROC-005,Email,Pricing Strategy & Packaging – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-005-C,PROC-005,Checklist,Pricing Strategy & Packaging – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-006,PROC-006,Email,Partner/Channel Strategy – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-006-C,PROC-006,Checklist,Partner/Channel Strategy – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-007,PROC-007,Email,Brand Governance & Messaging – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-007-C,PROC-007,Checklist,Brand Governance & Messaging – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-008,PROC-008,Email,SEO Content Lifecycle – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-008-C,PROC-008,Checklist,SEO Content Lifecycle – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-009,PROC-009,Email,Content Repurposing & Syndication – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-009-C,PROC-009,Checklist,Content Repurposing & Syndication – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-010,PROC-010,Email,Social Media Calendar & Community – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
TEMP-010-C,PROC-010,Checklist,Social Media Calendar & Community – Checklist,Checklist to ensure completeness,./Templates/checklist_template.md
TEMP-011,PROC-011,Email,Email List Building & Nurture – Email Template,Reusable email skeleton for this process,./Templates/email_template.md
